PPN,genre-aad,originInfo-publication0_dateIssued,SprachcodesWinIBW
PPN1045898058,{'Meßkatalog'},1682,"lat, ger"
PPN837368499,{'Epikedeion'},1727,ger
PPN896640213,,1520,ger
PPN742719731,{'Brief'},1742,ger
PPN875019676,{'Leichenpredigt'},1681,ger
PPN805295585,,1890,ger
PPN860868370,{'Streitschrift:theol.'},1614,ger
PPN739834215,,1486,ger
PPN1703161432,{'Verordnung'},1798,ger
PPN76784548X,"{'Lyrik', 'Gelegenheitsschrift:Neujahr'}",1761,ger
PPN769998348,{'Roman'},1795,ger
PPN870753584,{'Gebetbuch'},1680,ger
PPN672444534,"{'Biographie', 'Kriegskunde'}",1789,ger
PPN867480270,{'Gelegenheitsschrift:Tod'},1704,ger
PPN677760639,"{'Gelegenheitsschrift:Konversion', 'Gelegenheitsschrift:Tod'}",1729,ger
PPN766144984,{'Epik'},1772,ger
PPN832073865,"{'Satire', 'Biographie', 'Briefsammlung'}",1749,"ger, fre"
PPN732555086,{'Epik'},1763,ger
PPN104186518X,,1847,ger
PPN1003530567,{'Verordnung'},1787,ger
PPN733915558,,1597,ger
PPN846122278,{'Gesangbuch'},1788,ger
PPN738191469,,1914,ger
PPN1023485540,{'Gelegenheitsschrift:Promotion'},1700,ger
PPN65422272X,"{'Gelegenheitsschrift:Tod', 'Epikedeion'}",1714,ger
PPN839143834,{'Leichenpredigt'},1668,ger
PPN833468979,{'Kommentar: theol.'},1798,ger
PPN687193826,,1803,"ger, fre"
PPN718239318,{'Gelegenheitsschrift:Tod'},1692,ger
